file 1:
Εὐμένης : 2
κλισία : 2
χρηστός : 2
ἀγγέλλω : 2
χῶρος2 : 2
καίπερ : 2
ὑποδείκνυμι : 2
προσβάλλω : 2
φορέω : 2
παρέρχομαι : 2
μά : 2
κάθημαι : 2
φυγή : 2
σταθμός : 2
ἐλεύθερος : 2
ἧμαι : 2
πυκνός : 2
λόφος : 2
ἔξεστι : 2
Φοῖνιξ : 2
φόνος : 2
νιν : 2
σημαίνω : 2
ἐκτός : 2
ἀνάγω : 2
δημός : 2
βίος : 2



file 2:

lemmi nel file json 2000
elementi ripetuti: 481

σκοπιά : 2
ἐμποδών : 2
ἀνώτερος : 2
ἐξαρτύω : 2
ὄφελος : 3
ἀτέχνως : 2
πάντοθεν : 2
ἐπιστέλλω : 2
ἄνοια : 2
θεωρία : 2
ἐκχέω : 3
ἀρνός : 2
κοάξ : 2
ἐπιμιμνήσκομαι : 3
ἀγοράομαι : 3
μελέτη : 2
οὐτάζω : 4
παρορμάω : 3
παραπίπτω : 2
διακόπτω : 2
παράνομος : 2
θεοφιλής : 4
ἐπιχθόνιος : 2
ἀβλαβής : 2
θαρσύνω : 3
οὔτοι : 3
κερδαίνω : 3
Εὐρυμέδων : 3
προδοσία : 4
ἐναλίγκιος : 2
Ἄππιος : 2
χαμᾶζε : 2
φυτόν : 3
νηδύς : 3
ἐξίστημι : 2
πυρρός : 2
ἄμβροτος : 2
ἀναπνέω : 2
ἱερεύω : 2
ἱμάς : 2
Περσεφόνη : 2
ἐπαείδω : 2
ἐξορμάω : 2
διαδίδωμι : 2
φυή : 2
ῥιγέω : 2
Ἀσωπός : 2
Νίσαια : 2
τυραννικός : 2
ἀπολαύω : 2
γέμω : 2
Ἀρτεμίσιον : 2
οὐρανόθεν : 2
ἀτυχία : 2
εὐρύοπα : 2
αἰφνίδιος : 2
εὐπρεπής : 2
Τυρσηνία : 2
εὐτυχής : 2
μήποτε : 3
ἐπισημαίνω : 4
σπλάγχνον : 4
μνημεῖον : 2
δισμύριοι : 3
καίνυμαι : 4
ἀπήμων : 4
ἠχέω : 2
ἀπατάω : 3
ποδώκης : 2
παραιρέω : 2
σκληρός : 3
ἔλαφος : 2
παράθεσις : 2
προσβοηθέω : 3
Εὐρύλοχος : 2
καθικνέομαι : 3
αὐτομολέω : 3
ἔμπαλιν : 3
χαλκοχίτων : 3
οὐρά : 2
βασανίζω : 2
παραλύω : 3
Θερμοπύλαι : 3
πάροδος2 : 2
τρίβω : 3
καταχέω : 2
θαμά : 2
θέσις : 2
αἰαῖ : 2
φονεύς : 2
διαλείπω : 3
λοχάω : 2
ὀψώνιον : 2
εὐειδής : 2
ἐθελοντής : 3
χαλκήρης : 2
παραπέμπω : 2
ἴλη : 4
ἄτακτος : 4
συνεπιτίθημι : 2
ἀνδροφόνος : 4
πλέκω : 3
ἱδρώς : 2
τῆμος : 2
ὑπόδρα : 2
προστασία : 2
αὔρα : 2
ἐξαριθμέω : 2
πένομαι : 2
ἀτελής : 2
ἐκπορεύω : 2
διαχράομαι : 3
ἐφεξῆς : 3
ἐπιλείπω : 2
Ῥηγῖνος : 2
λυπηρός : 3
ῥιπή : 3
ἐπιγράφω : 2
συμβολή : 2
σύμβουλος : 3
Ἀμαζών : 2
δρέπανον : 2
καταστροφή : 3
πυρή : 3
οὖρος2 : 2
Εὐρύπυλος : 2
ἀλέω : 2
γηγενής : 2
πρωΐ : 2
ἀκτή2 : 2
συνθεάομαι : 2
κατορρωδέω : 2
σύνεσις : 2
ῥοδοδάκτυλος : 5
κήρυγμα : 2
Σίμων : 2
σκηνέω : 2
ἠῶθεν : 2
φράσσω : 3
σοφιστής : 2
νάω : 2
ἀνάξιος : 2
ἀρωγή : 2
σκαιός : 2
διέχω : 2
Θόας : 2
πόντιος : 2
πέδιλον : 3
πρακτικός : 2
πιφαύσκω : 2
ὡραῖος : 2
αὐτόμολος : 2
ἀντιλαμβάνω : 2
μῆδος2 : 2
μνᾶ : 5
καθοπλίζω : 2
Ἐλευσίς : 2
οὐλόμενος : 2
κώπη : 4
χειμέριος : 5
ἀρνέομαι : 2
μενοινάω : 2
Τειρεσίας : 2
Λύκος : 3
Κατάνη : 3
προδότης : 3
ἅλιος2 : 3
ἐπάνοδος : 4
οὐράνιος : 2
ῥίς : 2
ἀνόητος : 2
κέντρον : 2
ψιλόω : 2
κάλως : 2
δειρή : 2
ἀτεχνῶς : 2
ἤν : 2
Ἀγαύη : 3
ἄρδην : 2
Ἐρετριεύς : 2
καταδέω2 : 2
τυρός : 2
ἠϊών : 2
συστρέφω : 2
δραχμή : 2
δαΐζω : 2
ἀνατρέχω : 2
εὐγενής : 3
παρειά : 2
τροπή : 2
θορυβέω : 4
τελειόω : 2
θησαυρός : 3
ἀνάπτω : 2
κερδίων : 2
χῶμα : 2
παραδέχομαι : 2
Λαέρτης : 2
παράλιος : 2
κατακόπτω : 2
σύλλογος : 3
ἀναδέω : 2
ζηλόω : 2
ὑπείκω : 2
ἕκτος : 2
εὐχερής : 2
ἐπιλανθάνομαι : 2
κυνέω : 2
ὄρυγμα : 2
ἁδινός : 2
ἵμερος : 2
Ἰδαῖος : 3
αὐλός : 2
σάλπιγξ : 2
κομιδή : 2
ἀσπάσιος : 2
ἕβδομος : 2
ἐπιτροπή : 2
ἔα : 2
ὁπόθεν : 2
ἀναπλέω : 2
ὀρός : 4
ἐφεδρεία : 2
ἀολλής : 3
Λεοντῖνοι : 2
πατέομαι : 3
ὠμός : 2
εὐλαβέομαι : 2
γραῦς : 2
ἕδος : 2
παροξύνω : 3
πρῷρα : 2
παραχωρέω : 3
Εὐρυσθεύς : 3
πέλεκυς : 2
εἰσπλέω : 2
νότος : 3
πτωχός : 3
εἰκοστός : 2
Κλεισθένης : 3
προαιρέω : 2
αὐλών : 3
καθώς : 2
Φθία : 2
ἐπανίστημι : 3
τόκος : 2
τόθι : 2
ὅμορος : 2
ἀνατολή : 2
Πενθεύς : 2
συντέλεια : 2
βάρος : 2
μνάομαι : 3
σείω : 3
συνεργός : 3
ζωγρέω : 2
Μήδεια : 2
ἀνέλπιστος : 2
φιάλη : 2
Κύκλωψ : 2
τερπνός : 2
πλατύς : 3
ἄποινα : 2
νίφω : 2
ἀλύσσω : 2
λιγύς : 2
διοικέω : 2
λοιδορέω : 2
ἐλεεινός : 2
πλάσσω : 2
γνωρίζω : 2
στοχάζομαι : 2
ἁπαλός : 2
Θησεύς : 3
ὀδύνη : 3
οὖδας : 3
ἔλαιον : 2
ἀριστεύω : 2
λευκώλενος : 2
ἀπάτη : 2
πτέρυξ : 2
Ἐπιδαύριος : 2
ἀναπαύω : 2
μῖσος : 2
Εὔμαιος : 2
οἰκονομία : 2
πτολίεθρον : 2
τολμηρός : 2
ῥοή : 2
ῥόα : 2
ἄχρηστος : 2
ὀνίνημι : 3
λῃστής : 3
βόσκω : 2
παλάμη : 3
πολύτλας : 2
Ὀρέστης : 2
δαίω : 2
ἀποκαθίστημι : 2
πότος : 2
δοιοί : 2
ἥβη : 2
πέρθω : 2
μετόπισθε : 2
Ἰνδός : 2
ἐπάνω : 2
Ἆγις : 2
χόω : 2
ἐνδείκνυμι : 2
στέρνον : 2
οἰμώζω : 2
Μυρμιδόνες : 2
ὁστισοῦν : 2
ἀποσκευή : 2
πταίω : 2
φόρμιγξ : 2
σωτήρ : 2
βεβαιόω : 2
Ἀρίστων : 3
ὁλκάς : 3
φυτεύω : 3
δμώς : 2
ὀλιγωρέω : 2
πυρά2 : 2
ἐπερωτάω : 2
Ῥωμαϊκός : 3
ἀντίπαλος : 2
ὀρθόω : 2
εἴδωλον : 2
Σοῦσα : 2
εὐδοκιμέω : 2
θεοειδής : 2
Ἀγαθοκλῆς : 2
κατηγορία : 3
ξύλινος : 3
τείρω : 2
Πηλεΐων : 2
οἴκοι : 2
Ἱππίας : 2
ἀναδείκνυμι : 2
νύκτωρ : 3
ἀκμάζω : 2
ὄργανον : 2
ἐρυθρός : 2
παράλογος : 2
σκάφος2 : 2
παρανομία : 2
ἐξαγγέλλω : 2
καθεύδω : 3
ἐΰς : 2
διπλάσιος : 2
περιμένω : 2
αἰσχύνη : 2
παράγω : 2
κατοικίζω : 2
εἰσπίπτω : 2
πυρός : 2
μετέρχομαι : 2
ἱππόδαμος : 2
συμπλοκή : 2
σκάφος : 2
ἀργός : 2
ἄνωθεν : 2
ἀμήν : 2
αἰγιαλός : 2
τίσις : 2
τίπτε : 2
δέμω : 2
οἰκουμένη : 2
μεστός : 2
συγκαλέω : 2
βραδύς : 2
δικαιόω : 2
μενεαίνω : 2
διηγέομαι : 2
ἀναστρέφω : 2
ἕλος : 2
κλείς : 2
Ἀλεξάνδρεια : 2
κλείω : 2
δυσμενής : 2
ὑπερέχω : 2
κηρύσσω : 2
δουλεία : 2
σημαία : 2
κυρόω : 2
ἐθίζω : 2
ἐναργής : 3
ὑσμίνη : 2
δάω : 2
ἐπίπεδος : 2
πωλέω : 2
ἀπόφασις : 2
χάλκειος : 2
ἴφθιμος : 2
ἄρνυμαι : 3
χρέος : 2
πέδον : 2
παχύς : 2
ἔξοχος : 2
κατάκειμαι : 2
Ἀμίλκας : 2
δίχα : 2
σύνταξις : 2
τρόπαιον : 2
κυνέη : 2
μαντεῖον : 2
δίαιτα : 2
πόα : 2
ἁμάρτημα : 2
ἐκλύω : 2
φρόνημα : 2
ὀρίνω : 2
κόρυς : 2
ὑγρός : 2
φιλοσοφία : 2
περιτίθημι : 2
κακία : 3
πρόδηλος : 3
δατέομαι : 2
Μιλτιάδης : 2
σπείρω : 3
εὖρος : 2
κόμη : 2
ἱππότης : 2
δήν : 2
καρπάλιμος : 2
κακότης : 2
νέω2 : 2
μνημονεύω : 2
ἐλέγχω : 3
δεξιά : 2
ἀπειλέω : 2
φρουρέω : 2
Κίρκη : 2
χρησμός : 2
ἄνειμι : 2
ἀκόλουθος : 2
ἄντρον : 2
πρόσοδος : 2
ἐπιέννυμι : 2
οὐδός : 2
πομπή : 2
γεύω : 2
Περσικός : 2
σύνθημα : 2
ἀποφέρω : 2
φυλάζω : 2
φάτις : 2
βάθος : 2
ἔνερθε : 2
ἐμβαίνω : 2
ἔννοια : 3
Λυκοῦργος : 2
ἄσσα : 2
βουκόλος : 2
κυβερνήτης : 2
ἐμπρήθω : 2
Σικυώνιος : 2
νεύω : 2
τελευτή : 2
στείχω : 2
ἄγαμαι : 2
εὔνοος : 2
στεφανόω : 2
ὕπερθεν : 2
κατεργάζομαι : 2
ἐρέω : 2
φιλότιμος : 2
αὐτόματος : 2
ξένιος : 2
εἴσοδος : 2
δέρμα : 2
ἐπιφάνεια : 2
σκότος : 2
μετεῖπον : 2
ἐλεέω : 2
χλαῖνα : 2
πιστός : 2
πνοή : 2
Ἀστυάγης : 2



lemmi nel file json 4000
elementi ripetuti: 895
Ecco la lista formattata che puoi copiare facilmente:

```
φορά : 2
πάρεργον : 2
ἑνδέκατος : 2
ἀποπαύω : 2
φθέγμα : 2
ἶφι : 2
Ἀντίπατρος : 4
ἐνάλιος : 2
ἐφανδάνω : 3
Ἁρμόδιος : 4
δηριάομαι : 3
πάρημαι : 3
εὐσέβεια : 3
μνημόσυνον : 4
τέθριππος : 2
εὐρύχορος : 3
ἀσπαίρω : 2
περιχέω : 2
κορωνίς : 2
Ἀγχίσης : 3
τρυφάλεια : 2
Νηλεύς : 2
θέρμος : 2
διατρέπω : 2
παλλακή : 5
δέρω : 2
παρθενία : 2
ἠίθεος : 2
ἀρετάω : 2
ἔκπλοος : 2
Κυλλήνη : 4
ὑπογράφω : 3
ἐπάγνυμι : 2
κυβερνάω : 2
διΐημι : 3
ἀτιμία : 3
μεταλήγω : 2
ἀτασθαλία : 3
ἐνάγω : 2
μερίς : 2
μηνίω : 3
οἰκειότης : 2
μήστωρ : 2
ἐξανύω : 2
δίωξις : 2
λαῖφος : 5
λαιψηρός : 5
Γοργώ : 2
περιτυγχάνω : 2
δοτέος : 3
θηρεύω : 5
Γαλατία : 2
Ἀμφιάραος : 2
πενθέω : 4
ἐπέτειος : 2
τώς : 6
ὑγιαίνω : 8
νυμφίος : 2
ἄχθος : 3
προάστιον : 2
ὀβελός : 4
σύμφημι : 3
ἐπιμαίομαι : 2
ἀνειλέω : 2
ἄρος : 2
ὄνυξ : 2
τρώγω : 2
γένειον : 4
Ὀϊλεύς : 3
ἀναρπάζω : 2
Συλοσῶν : 3
ἰαύω : 2
ἀγγεῖον : 3
ἀντιόομαι : 2
κλῆμα : 2
ἑκηβόλος : 2
κυδαίνω : 2
γεωμετρία : 2
ἴκρια : 2
ἐποποιία : 2
ὄντως : 2
διασφάξ : 2
διαστρέφω : 2
διάστασις : 2
μηδέπω : 4
Αἰγιναῖος : 2
φανή : 2
εὕω : 4
ταγός : 2
σωφρονίζω : 2
ἀκόρητος : 2
αἰπός : 2
ἀγορανόμος : 2
ἀγορητής : 2
μητροπάτωρ : 2
ἀγελείη : 2
νῆϊς : 2
τεκνόω : 2
ἄμμορος : 2
ἀμνημονέω : 2
ἀκρατής : 2
φαέθω : 2
πολυπῖδαξ : 7
φιλοκερδής : 10
τροπικός : 2
φατός : 10
ἀναρχία : 2
ἀνερείπομαι : 2
φάντασμα : 6
ἠλακάτη : 3
φιλήκοος : 9
Μίδας : 3
δολοφρονέων : 2
ἠπεροπεύω : 2
μνῆστις : 5
φιλόπολις : 7
ἤλιθα : 3
δύσποτμος : 3
δρόσος : 2
βαφή : 2
δώρημα : 3
γέντο : 2
γέρανος : 2
πολύστονος : 2
ἀνακομιδή : 2
ἧχι : 2
δωτίνη : 2
θαμίζω : 4
θάλος : 3
θάλπω : 3
θαλλός : 3
ἐγκονέω : 5
διαβατός : 2
Ἠριδανός : 2
ἐγκαταλαμβάνω : 3
ἀναφανδά : 2
ἀνοδία : 3
κατακλύζω : 2
ἕλειος : 2
προπηλακίζω : 7
νεμεσητός : 4
σύμβολος : 2
μονογενής : 2
μηνυτής : 2
ὑποθήκη : 2
ἐκβιάζω : 3
νεᾶνις : 4
Ναύκρατις : 4
ἰλύς : 4
προσκαθέζομαι : 2
προσεύχομαι : 2
ὀπωπή : 2
προκαθίζω : 3
νιφάς : 6
προβλής : 2
ὑπειδόμην : 2
ἱπποδάσεια : 5
υἱωνός : 2
φυλακικός : 5
φωνήεις : 3
προνομεύω : 6
ἰσηγορία : 5
κηρίον : 2
Δύμη : 2
στῖφος : 2
σοφίζω : 2
Ἀμφίων : 2
κομπέω : 2
κονίω : 2
ἐμβλέπω : 3
συναλίζω : 2
κρυερός : 2
κροτέω : 2
κτέρεα : 2
ἀστοχέω : 2
ἀρχήν : 2
ἀρχιτέκτων : 2
φάρος : 2
ἀτέλεια : 2
νοσφίζομαι : 2
ἀστράγαλος : 2
ἐνδεχομένως : 2
ἀστεροπή : 2
προσβλέπω : 2
ψέλιον : 2
τεχνίτης : 2
Κλυτίος : 2
ἔνορκος : 2
ἄϋπνος : 2
προσμένω : 4
σκότιος : 3
προστρόπαιος : 13
καλλίσφυρος : 2
ὁθούνεκα : 3
φῦσα : 7
ὁδοιπορέω : 2
ἁλία : 2
ὀδύσσομαι : 2
ἀφύλακτος : 2
προσπολεμέω : 3
διαστέλλω : 2
ὀϊστεύω : 2
ἀγχίνοος : 2
Οἰνόη : 2
χρηματιστής : 5
ἐξηγητής : 2
Πάγγαιον : 2
βαθύζωνος : 2
καταψεύδομαι : 3
ὀχυρόω : 2
κατίσχω : 7
τελήεις : 2
ἑορτάζω : 2
τρυφάω : 2
ὀλέθριος : 2
τρητός : 2
ἄσκησις : 2
ἐπωνύμιος : 4
ἀγροικία : 2
κατόπισθεν : 5
ἐπάξιος : 4
ὁμῆλιξ : 3
καταπάλτης : 2
καταπατέω : 2
γυμνής : 2
ἀζαλέος : 2
ὁμώνυμος : 5
κατάλληλος : 2
πίναξ : 2
δεσμώτης : 2
ὄρομαι : 3
γύαλον : 3
λοχαγέω : 2
λιτανεύω : 2
ἐπηετανός : 2
διαναυμαχέω : 2
κωμῳδέω : 2
δυστυχής : 2
αἰτίζω : 2
ἀλεγίζω : 2
ὄρειος : 4
τετράκις : 2
ἀλαζονεία : 2
ἀκροατής : 2
γραφεύς : 2
χρησμολόγος : 2
πυργόω : 2
κλῄζω2 : 2
δασμός : 2
ἄλληκτος : 2
ἀλίαστος : 2
ἀμέρδω : 2
ἔπιπλα : 2
σάττω : 2
κλοπή : 2
Κολοφώνιος : 4
ἀναίσχυντος : 4
ὀτρηρός : 5
οὐραγός : 3
κοτύλη : 3
διακονέω : 4
ἐπίφθονος : 3
στόνος : 2
ἀναζητέω : 2
συμπεριφέρω : 3
στίζω : 2
δήποτε : 2
δήμιος : 2
θεουδής : 2
ἀναπίπτω : 2
Τυφωεύς : 2
ἑπτακισχίλιοι : 3
Κρισαῖος : 2
διαρρέω : 2
ἐρεβεννός : 3
ἀνασχετός : 2
ὑλώδης : 2
ῥίνη : 6
χρηστηριάζω : 6
Κρόνιος : 2
ἀνάπαυσις : 2
τρόφις : 2
χυτός : 7
Σύρτις : 2
διεργάζομαι : 2
κρατύς : 2
Ἐρεχθεύς : 3
ἀραβέω : 3
κρότος : 4
φοινίκεος : 2
φλογίς : 2
χηλή : 3
ὠμηστής : 10
Θερμώδων : 3
χάλαζα : 2
ἀντιτείνω : 2
εὐαγής : 4
πάλος : 4
πάλη : 3
χρῆσις : 3
δίωγμα : 2
κυανοχαίτης : 2
κύαμος : 3
ἐνναέτης2 : 2
ἀλεγύνω : 2
ἀκροθίνιον : 2
ἐμπάζομαι : 2
μέθοδος : 2
δόναξ : 3
κύπελλον : 4
μαραίνω : 2
ἄκακος : 2
πτηνός : 4
ἀμφίρυτος : 2
κώμαρχος : 4
λαιμός : 4
δορυφορέω : 3
ἄπιος2 : 2
Κῶς : 2
Σιμόεις : 5
δριμύς : 2
παλύνω : 3
Ἔγεστα : 2
Πέρινθος : 2
πάννυχος : 5
ἀπολογία : 2
ῥόδον : 4
μισθοφορά : 2
παρθενικός : 2
οὐρίζω : 2
οἶστρος : 2
οἰκεύς : 2
παραλέγω : 2
διαφανής : 2
διαστολή : 2
ποιπνύω : 2
πολεμήϊος : 2
ποιήεις : 2
πληθύω : 2
πάλα : 2
λύσσα : 3
παρέλκω : 2
Πέρση : 2
λυσσάω : 2
ἐκβιβάζω : 2
ἐφιστάνω : 2
σημάντωρ : 2
ἔφεδρος : 2
ἔνοχος : 2
Ἄτλας : 2
ἐκλάμπω : 3
Ἄβδηρα : 2
μαστίζω : 2
μαρμαίρω : 2
ἀδελφιδέος : 2
ἀδήριτος : 2
παρεισπίπτω : 3
ἀγχέμαχος : 2
ἠλίθιος : 3
ἐκποιέω : 2
προσδόκιμος : 2
Εὔιος : 2
Ἄδμητος : 2
χρηματιστικός : 2
ἀφικάνω : 2
Αἰτωλικός : 8
στερίσκω : 7
ἵππειος : 2
ὁμαδέω : 2
σκῆψις : 2
στάχυς : 9
ἐρινεός : 10
σύνθεσις : 2
μηδαμῇ : 7
ἐμφανίζω : 4
δικαιολογέομαι : 2
στενοχωρία : 3
τηλεθάω : 2
τεχνικός : 2
στρεπτός : 3
ἀκόλαστος : 3
κατατάσσω : 3
σύμμικτος : 2
σχολαῖος : 2
ἐκλογίζομαι : 2
ὑμέναιος : 6
ἔκταξις : 2
ἐναποδείκνυμαι : 2
ἐπεισέρχομαι : 2
συμφανής : 2
βόθρος : 2
ἔνδηλος : 3
ἐνεδρεύω : 2
βρέφος : 2
κατακολουθέω : 2
ἰαμβεῖος : 3
ἁμαξιτός : 2
λήϊον : 2
ἐντίκτω : 3
ἱδρόω : 3
λοιπάς : 2
ἀμφορεύς : 3
γενναιότης : 2
Μασσαλία : 2
πάγκαλος : 2
μεταπίπτω : 2
γνωτός : 3
ὄσσομαι : 2
ὀροθύνω : 2
στέμμα : 5
ἐξέτασις : 2
ἱππηλάτης : 2
μοναρχικός : 4
Δαρδανίδης : 3
Δαρεικός : 3
περιελαύνω : 2
διδαχή : 2
τένων : 2
διατροπή : 2
ἐπαποστέλλω : 2
ἔμψυχος : 2
ἐμπορία : 2
ἐμπλέω : 2
ἐμβιβάζω : 2
Ἑλικών : 2
ἔπηλυς : 2
Μόψος : 2
στιχάομαι : 2
ναυπηγέω : 6
Κέφαλος : 2
ἐπικρεμάννυμι : 4
διαχέω : 2
ἐπικυδής : 3
ἐπιμετρέω : 4
ἐπικίνδυνος : 2
κατατέμνω : 2
διαπέρθω : 4
πεύκη : 2
Ἀρσινόη : 3
ὁπλιτικός : 2
ἔργμα : 2
ἀποθηριόω : 3
Γορτύνιος : 2
δεσπόζω : 2
γναμπτός : 2
διέξοδος : 2
κολώνη : 3
βροτολοιγός : 2
Ἀκραγαντῖνος : 2
Μωυσῆς : 2
πολλαχοῦ : 2
Ἰάς : 2
ἐπιπνέω : 2
πομπεύς : 2
στέγω : 4
ᾗπερ : 2
ἐπιτυχία : 4
κἀν : 3
πρόλογος : 2
Ἀπολλώνιος : 2
ἀποπνέω : 3
Εὔριπος : 2
προσανέχω : 2
πολέω : 2
ἄγνωστος : 4
νόμαιος : 7
ἐπονομάζω : 2
ἀπότομος : 2
εὐφρόνη : 3
ἀποστάτης : 2
κυανόπρῳρος : 2
νόησις : 4
κατασύρω : 2
ἀληθεύω : 2
ἄλαστος : 2
κατακοιμάω : 2
ἁρμοστής : 4
ἄρθρον : 2
πανοπλία : 2
κερκίς : 2
Σειρήν : 2
δυσμένεια : 3
ἄξων : 2
Ἀρμενία : 2
κράζω : 2
σκολιός : 2
ἕρση : 4
ἀδυναμία : 2
κυκάω : 2
ἅδην : 2
στενάζω : 2
συμμένω : 3
ἄφοδος : 2
προσκαρτερέω : 2
αὖλαξ : 2
ἐρωή : 3
ἀσπιστής : 2
τέγγω : 2
Αἰθιοπία : 2
βοτήρ : 2
μαίομαι : 2
μαῖα : 2
βόρειος : 2
συναγωνίζομαι : 2
ὑπέρχομαι : 2
συγκατασκευάζω : 2
ἑτέρωσε : 2
αἰνίσσομαι : 2
ἑτέρωθι : 2
ὀθνεῖος : 2
τυφλόω : 2
μηχάνημα : 2
κουφίζω : 10
ξένη : 3
ἁλίζω : 3
εὐπραγία : 8
ἐκκλίνω : 2
εἰσφορά : 2
νηέω : 2
αὔτανδρος : 3
αὐτάρκης : 3
ὠκύπορος : 9
εὔκηλος : 3
ψυχαγωγέω : 11
κόμπος : 2
ἐνιαύσιος : 2
στέφω : 13
Χάρυβδις : 2
ἕλωρ : 3
γαῦλος : 2
Εὐπείθης : 2
ἀλλάσσω : 3
πλάνη : 9
πλάξ : 7
οἷπερ : 5
ἔναρα : 2
πλαίσιον : 7
κρημνώδης : 6
βακτηρία : 5
κροκόδιλος : 3
Παναχαιοί : 2
ἐκπράσσω : 5
ἔκφημι : 3
ἕρμα : 2
ἐρικυδής : 2
παραπαίω : 2
Αἰγεύς : 2
ἀναβολή : 3
Πειθώ : 2
ἀναγορεύω : 2
Δημόδοκος : 2
ἀναγνωρίζω : 2
εὐχείρωτος : 4
ἀναισιμόω : 2
βραχεῖν : 2
ὁμοιότης : 2
γαλήνη : 3
ὁμαρτέω : 2
γέννα : 2
ἀπαμύνω : 2
ἀνασταυρόω : 2
ἐμποδίζω : 3
ἔφοδος2 : 3
φιλονικέω : 2
φάσμα : 2
ἀνθομολογέομαι : 2
Ποσειδώνιος : 2
Ἅγνων : 2
κλάω : 2
ἀστή : 2
ἀνιαρός : 2
δαιτυμών : 2
ὁμονοέω : 4
ἐπίορκος : 2
ἀντοφθαλμέω : 3
δαίω2 : 2
Καλλίμαχος : 2
πολλαχῆ : 4
Λητοΐδης : 4
ληκύθιον : 3
ὧρος : 3
ἐξαιτέω : 2
πολυάρατος : 5
ἐνύπνιος : 2
χριστός : 2
διατμήγω : 2
ὁμός : 2
θεῖος2 : 2
χοή : 2
ὀπάων : 2
λοιδορία : 2
Λίνος : 2
δημοτικός : 2
Μαγνησία : 4
ἔκτοθι : 2
ναυπηγία : 2
ἀπολέγω : 3
θηλέω : 3
ὀπυίω : 3
καμπύλος : 2
ἴχνιον : 2
ἐνεσία : 2
ὀρεύς : 3
νήχω : 2
σύνεδρος : 2
διεκπλέω : 3
ὄκνος : 2
διαφθορά : 3
Ἄργος2 : 2
ἀργυρόπεζα : 2
αἴγειρος : 2
ταλασίφρων : 2
ὑψερεφής : 2
συναγωνιστής : 3
ὀπτός : 2
μαντεία : 2
ἁλής : 2
ἀκολασία : 2
οἰκοδόμημα : 2
ἐπιείκελος : 2
μέδομαι : 3
Ἀρταξέρξης : 3
μέροψ : 3
ἀσκηθής : 2
Ἶρος : 2
περικτίονες : 2
ἄντυξ : 2
ἐπικρύπτω : 2
ἀντιπολιτεύομαι : 2
ὀχεύς : 3
καταφιλέω : 2
μέριμνα : 2
συναμφότεροι : 2
Λάχης : 2
ἐγχρίμπτω : 2
καθέλκω : 3
Δανάη : 2
Οὐρανίωνες : 4
ὀχυρός : 3
τριακοστός : 5
βρέμω : 2
κακοπαθέω : 2
